Name;Brand;Price;URL
Polar Ignite treningsklokke S (sort/sølv);Not found;1 990;https://www.elkjop.no/product/wearables-og-trening/sportsklokke/31667/polar-ignite-treningsklokke-s-sort-solv
Huawei Watch GT2 smartklokke 46 mm (sølv);Not found;2 490;https://www.elkjop.no/product/wearables-og-trening/smartklokke/53006/huawei-watch-gt2-smartklokke-46-mm-solv
Goji SMART smartklokke (roségull/fersken);Not found;699;https://www.elkjop.no/product/wearables-og-trening/smartklokke/47731/goji-smart-smartklokke-rosegull-fersken
Garmin Forerunner 235 treningsklokke (sort/blå);Not found;1 890;https://www.elkjop.no/product/wearables-og-trening/sportsklokke/GARFOR235BHR/garmin-forerunner-235-treningsklokke-sort-bla
Huawei FreeBuds 3 helt trådløse hodetelefoner (hvit);Not found;1 790;https://www.elkjop.no/product/mobil-og-gps/handsfree-og-hodetelefoner-med-mikrofon/70094/huawei-freebuds-3-helt-tradlose-hodetelefoner-hvit
Goji SMART smartklokke (sort);Not found;699;https://www.elkjop.no/product/wearables-og-trening/smartklokke/47730/goji-smart-smartklokke-sort
Apple AirPods Pro helt trådløse hodetelefoner;Not found;2 990;https://www.elkjop.no/product/lyd-hi-fi/hodetelefoner/71670/apple-airpods-pro-helt-tradlose-hodetelefoner
Polar Ignite treningsklokke M/L (sort/kobber);Not found;2 290;https://www.elkjop.no/product/wearables-og-trening/sportsklokke/47193/polar-ignite-treningsklokke-m-l-sort-kobber
Oaxis WatchPhone 3G smartklokke (sort);Not found;997;https://www.elkjop.no/product/wearables-og-trening/smartklokke/OAXISWATCHBK/oaxis-watchphone-3g-smartklokke-sort
Apple AirPods (2019) trådløse hodetelefoner med etui;Not found;1 690;https://www.elkjop.no/product/mobil-og-gps/handsfree-og-hodetelefoner-med-mikrofon/26172/apple-airpods-2019-tradlose-hodetelefoner-med-etui
Huawei Watch GT treningsklokke (sølv);Not found;1 990;https://www.elkjop.no/product/wearables-og-trening/sportsklokke/12547/huawei-watch-gt-treningsklokke-solv
Apple AirPods (2019) trådløse hodetelefoner med Qi-etui;Not found;1 990;https://www.elkjop.no/product/mobil-og-gps/handsfree-og-hodetelefoner-med-mikrofon/26171/apple-airpods-2019-tradlose-hodetelefoner-med-qi-etui
Huawei Watch GT2 smartklokke 42 mm (roségull);Not found;2 790;https://www.elkjop.no/product/wearables-og-trening/smartklokke/53007/huawei-watch-gt2-smartklokke-42-mm-rosegull
